municipality,iata_code,,name,iso_region
Utirik Island,UTK,,Utirik Airport,MH-UTI
Key Largo,OCA,,Ocean Reef Club Airport,US-FL
Corpus Christi,CUX,,Cuddihy Field,US-TX
Crested Butte,CSE,,Crested Butte Airpark,US-CO
Columbus,CUS,,Columbus Airport,US-NM
Stonewall,JCY,,LBJ Ranch Airport,US-TX
Loring,WLR,,Loring Seaplane Base,US-AK
Nunapitchuk,NUP,,Nunapitchuk Airport,US-AK
Port Alice,PTC,,Port Alice Seaplane Base,US-AK
Icy Bay,ICY,,Icy Bay Airport,US-AK
Port Protection,PPV,,Port Protection Seaplane Base,US-AK
Kalakaket Creek,KKK,,Kalakaket Creek AS Airport,US-AK
Dunsmuir,MHS,,Dunsmuir Muni-Mott Airport,US-CA
Beeville,NIR,,Chase Field Industrial Airport,US-TX
Littlefield,GCT,,Grand Canyon Bar Ten Airstrip,US-AZ
Ellamar,ELW,,Ellamar Seaplane Base,US-AK
Lime Village,LVD,,Lime Village Airport,US-AK
Hogatza,HGZ,,Hog River Airport,US-AK
Oaktown,OTN,,Ed-Air Airport,US-IN
Telida,TLF,,Telida Airport,US-AK
Brazoria,BZT,,Eagle Air Park,US-TX
Entrance Island,HBH,,Entrance Island Seaplane Base,US-AK
False Island,FAK,,False Island Seaplane Base,US-AK
Blakely Island,BYW,,Blakely Island Airport,US-WA
Kenai,DRF,,Drift River Airport,US-AK
Bradford,BDF,,Rinkenberger Restricted Landing Area,US-IL
Tetlin,TEH,,Tetlin Airport,US-AK
Versailles,VRS,,Roy Otten Memorial Airfield,US-MO
Golden Horn Lodge,GDH,,Golden Horn Lodge Seaplane Base,US-AK
Atmautluak,ATT,,Atmautluak Airport,US-AK
Livengood,LIV,,Livengood Camp Airport,US-AK
Pedro Bay,PDB,,Pedro Bay Airport,US-AK
Ouzinkie,KOZ,,Ouzinkie Airport,US-AK
Tununak,TNK,,Tununak Airport,US-AK
Hyder,WHD,,Hyder Seaplane Base,US-AK
Minto,MNT,,Minto Al Wright Airport,US-AK
Tokeen,TKI,,Tokeen Seaplane Base,US-AK
Aleknagik,WKK,,Aleknagik / New Airport,US-AK
Ketchikan,WFB,,Ketchikan Harbor Seaplane Base,US-AK
Rolling Fork,RFK,,Rollang Field,US-MS
Naknek,NNK,,Naknek Airport,US-AK
Katmai National Park,BKF,,Lake Brooks Seaplane Base,US-AK
Belle Chasse,BCS,,Southern Seaplane Airport,US-LA
Stow,MMN,,Minute Man Air Field,US-MA
San Pedro,SPQ,,Catalina Air-Sea Terminal Heliport,US-CA
New York,TSS,,East 34th Street Heliport,US-NY
New York,NYS,,New York Skyports Inc Seaplane Base,US-NY
Blackwell,BWL,,Earl Henry Airport,US-OK
Yes Bay,WYB,,Yes Bay Lodge Seaplane Base,US-AK
Center Island,CWS,,Center Island Airport,US-WA
Tatitlek,TEK,,Tatitlek Airport,US-AK
Corolla,DUF,,Pine Island Airport,US-NC
Friday Harbor,SSW,,Stuart Island Airpark,US-WA
Fort Bragg,FOB,,Fort Bragg Airport,US-CA
Poulsbo,PUL,,Port of Poulsbo Marina Moorage Seaplane Base,US-WA
Los Angeles,CCD,,Century City Heliport,US-CA
Meyers Chuck,WMK,,Meyers Chuck Seaplane Base,US-AK
Alexandria Bay,AXB,,Maxson Airfield,US-NY
Lubbock,REE,,Reese Airpark,US-TX
Eastsound,WDN,,Waldron Airstrip,US-WA
Whale Pass,WWP,,Whale Pass Seaplane Float Harbor Facility,US-AK
Chuathbaluk,CHU,,Chuathbaluk Airport,US-AK
Ugashik,UGS,,Ugashik Airport,US-AK
City of Industry,JID,,Recreation and Conference Center Heliport,US-CA
Essington,PSQ,,Philadelphia Seaplane Base,US-PA
Levelock,KLL,,Levelock Airport,US-AK
Saginaw Bay,SGW,,Saginaw Seaplane Base,US-AK
Tuntutuliak,WTL,,Tuntutuliak Airport,US-AK
Twin Hills,TWA,,Twin Hills Airport,US-AK
Chignik Lake,KCQ,,Chignik Lake Airport,US-AK
Adado,AAD,,Adado Airport,SO-GA
Atkamba Mission,ABP,,Atkamba Airport,PG-WPD
Arica,ACM,,Arica Airport,CO-AMA
Andekombe,ADC,,Andakombe Airport,PG-EHG
El Daein,ADV,,El Daein Airport,SD-DE
Jebel Ali,DJH,,Jebel Ali Seaplane Base,AE-DU
Adar,AEE,,Adareil Airport,SS-23
Aseki,AEK,,Aseki Airport,PG-MPL
Chifeng,AEQ,,Ar Horqin Airport,CN-15
Khost,KHT,,"""Ghost"" International Airport",AF-KHO
Orūzgān,URZ,,Orūzgān Airport,AF-URU
Khost,OLR,,Salerno Airport,AF-KHO
Ampara,AFK,,Kondavattavana Tank Seaplane Base,LK-5
,AFR,,Afore Airstrip,PG-NPP
Bila,AFT,,Afutara Aerodrome,SB-ML
Arona,RNA,,Ulawa Airport,SB-MK
Atoifi,ATD,,Uru Harbour Airport,SB-ML
Barakoma,VEV,,Barakoma Airport,SB-WE
Liangia,GEF,,Geva Airport,SB-WE
Angoram,AGG,,Angoram Airport,PG-ESW
Auki,AKS,,Gwaunaru'u Airport,SB-ML
Anua,BNY,,Bellona/Anua Airport,SB-RB
,CHY,,Choiseul Bay Airport,SB-CH
Ballalae,BAS,,Ballalae Airport,SB-WE
Fera Island,FRE,,Fera/Maringe Airport,SB-IS
Honiara,HIR,,Honiara International Airport,SB-GU
Mbambanakira,MBU,,Babanakira Airport,SB-GU
,AVU,,Avu Avu Airport,SB-GU
Kirakira,IRA,,Ngorangora Airport,SB-MK
Santa Cruz/Graciosa Bay/Luova,SCZ,,Santa Cruz/Graciosa Bay/Luova Airport,SB-TE
Munda,MUA,,Munda Airport,SB-WE
Gizo,GZO,,Nusatupe Airport,SB-WE
Stirling Island,MNY,,Mono Airport,SB-WE
Parasi,PRS,,Parasi Airport,SB-ML
Rennell Island,RNL,,Rennell/Tingoa Airport,SB-RB
Sege,EGM,,Sege Airport,SB-WE
Santa Ana Island,NNB,,Santa Ana Airport,SB-MK
Marau,RUS,,Marau Airport,SB-GU
Suavanao,VAO,,Suavanao Airport,SB-IS
Yandina,XYA,,Yandina Airport,SB-CE
Kagua,AGK,,Kagua Airport,PG-SHM
Kagau Island,KGE,,Kaghau Airport,SB-CH
Kolombangara Island,KUE,,Kukudu Airport,SB-WE
Kwailabesi,KWS,,Kwailabesi Airport,SB-ML
,AGL,,Wanigela Airport,PG-NPP
Lomlom,LLM,,Lomlom Airport,SB-TE
Star Harbor,NAZ,,Nana Airport,SB-MK
Manaoba,MHM,,Manaoba Airport,SB-ML
Gatokae,GTA,,Gatokae Aerodrome,SB-WE
Ringi Cove,RIN,,Ringi Cove Airport,SB-WE
Ramata,RBV,,Ramata Airport,SB-WE
Tulaghi Island,TLG,,Tulaghi Heliport,SB-CE
Argyle Downs,AGY,,Argyle Downs Airport,AU-WA
Ngawa (Hongyuan),AHJ,,Hongyuan Airport,CN-51
Ambatolahy,AHY,,Ambatolhy Airport,MG-U
Aiome,AIE,,Aiome Airport,PG-MPM
Aiambak,AIH,,Aiambak Airport,PG-WPD
Bigatyelang Island,AIC,,Ailinglaplap Airok Airport,MH-ALL
Chena Hot Springs,CEX,,Chena Hot Springs Airport,US-AK
Solomon,SOL,,Solomon State Field,US-AK
Herendeen Bay,HED,,Herendeen Bay Airport,US-AK
Taylor,TWE,,Taylor Airport,US-AK
Tikchik,KTH,,Tikchik Lodge Seaplane Base,US-AK
Tuxekan Island,NKI,,Naukati Bay Seaplane Base,US-AK
Point Lonely,LNI,,Point Lonely Short Range Radar Site Airfield,US-AK
Candle,CDL,,Candle 2 Airport,US-AK
Amook Bay,AOS,,Amook Bay Seaplane Base,US-AK
Boswell Bay,BSW,,Boswell Bay Airport,US-AK
ZaKouma,AKM,,Zakuoma Airport,TD-SA
Lazy Bay,ALZ,,Alitak Seaplane Base,US-AK
Puerto Peñasco,PPE,,Mar de Cortés International Airport,MX-SON
Alto Molocue,AME,,Alto Molocue Airport,MZ-Q
,AMF,,Ama Airport,PG-ESW
Amanab,AMU,,Amanab Airport,PG-SAN
,AMY,,Ambatomainty Airport,MG-M
Yaren District,INU,,Nauru International Airport,NR-14
Angus Downs Station,ANZ,,Angus Downs Airport,AU-NT
Saurimo,CTV,,Catoca Airport,AO-LSU
Andulo,ANL,,Andulo Airport,AO-BIE
Cangamba,CNZ,,Cangamba Airport,AO-MOX
Dirico,DRC,,Dirico Airport,AO-CCU
Capanda,KNP,,Capanda Airport,AO-MAL
N'dalatando,NDF,,N'dalatando Airport,AO-CNO
,AOB,,Annanberg Airport,PG-MPM
Abou-Deïa,AOD,,Abou-Deïa Airport,TD-SA
,APP,,Asapa Airport,PG-NPP
April River,APR,,April River Airport,PG-ESW
Girdwood,AQY,,Girdwood-Alyeska Airport,US-AK
Bragado,QRF,,Bragado Airport,AR-B
Caleta Olivia,CVI,,Caleta Olivia Airport,AR-Z
Charata,CNT,,Charata Airport,AR-H
General Villegas,VGS,,General Villegas Airport,AR-B
Los Menucos,LMD,,Los Menucos Airport,AR-R
Valcheta,VCF,,Valcheta Airport,AR-R
Sunchales,NCJ,,Sunchales Aeroclub Airport,AR-S
Carmen de Patagones,CPG,,Carmen de Patagones Airport,AR-B
Presidencia Roque Sáenz Peña,PRQ,,Termal Airport,AR-H
,ARP,,Aragip Airport,PG-MBA
,ASZ,,Asirim Airport,PG-WBK
Namatanai,ATN,,Namatanai Airport,PG-NIK
Aitape,ATP,,Aitape Airport,PG-SAN
Lady Elliot Island,LYT,,Lady Elliot Island Airstrip,AU-QLD
Cosmo Newbery,GYZ,,Gruyere Airport,AU-WA
Karara,KQR,,Karara Airport,AU-WA
Alpha,ABH,,Alpha Airport,AU-QLD
Agnew,AGW,,Agnew Airport,AU-QLD
Alroy Downs,AYD,,Alroy Downs Airport,AU-NT
Baniyala,BYX,,Baniyala Airport,AU-NT
Coolibah,COB,,Coolibah Airport,AU-NT
Coorabie,CRJ,,Coorabie Airport,AU-SA
Carlton Hill,CRY,,Carlton Hill Airport,AU-WA
Cresswell Downs,CSD,,Cresswell Downs Airport,AU-NT
Diamantina Lakes,DYM,,Diamantina Lakes Airport,AU-QLD
Hayman Island,HIS,,Hayman Island Resort Seaplane Base,AU-QLD
Helenvale,HLV,,Helenvale Airport,AU-QLD
Kimberley Downs,KBD,,Kimberley Downs Airport,AU-WA
Ghan,KGR,,Kulgera Airport,AU-NT
Orchid Beach,OKB,,Orchid Beach Airport,AU-QLD
Peppimenarti,PEP,,Peppimenarti Airport,AU-NT
Rockhampton Downs,RDA,,Rockhampton Downs Airport,AU-NT
Sturt Creek,SSK,,Sturt Creek Airport,AU-WA
Shaw River,SWB,,Shaw River Airport,AU-WA
Tom Price,TPR,,Tom Price Airport,AU-WA
Torwood,TWP,,Torwood Airport,AU-QLD
Springvale,ZVG,,Springvale Airport,AU-WA
Aua Island,AUI,,Aua Island Airport,PG-MRL
Ambunti,AUJ,,Ambunti Airport,PG-ESW
,AUP,,Agaun Airport,PG-MBA
Aumo,AUV,,Aumo Airport,PG-WBK
Wonga Wongué Presidential Reserve,AWE,,Alowe Airport,GA-3
Awar,AWR,,Awar Airport (unusable),PG-MPM
Bayanhot,AXF,,Alxa Left Banner Bayanhot Airport,CN-15
Kabir,AXO,,Pantar Kabir Airport,ID-NT
,KPM,,Kompiam Airport,PG-EPW
Buka Island,BUA,,Buka Airport,PG-NSB
Biaru,BRP,,Biaru Airport,PG-MPL
Kundiawa,CMU,,Chimbu Airport,PG-CPK
Munduku,MDM,,Munduku Airport,PG-ESW
Kondobol,KPF,,Kondobol Airport,PG-WPD
Dinangat,DNU,,Dinangat Airport,PG-MPL
Castori Islets,DOI,,Doini Airport,PG-MBA
Daru,DAU,,Daru Airport,PG-WPD
Embessa,EMS,,Embessa Airport,PG-NPP
Yellow River Mission,XYR,,Edwaki Airport,PG-SAN
Eliptamin,EPT,,Eliptamin Airport,PG-SAN
Engati,EGA,,Engati Airstrip,PG-MPL
Emo Mission,EMO,,Emo River Airstrip,PG-NPP
Erume,ERU,,Erume Airport,PG-CPM
Demgulu,MFZ,,Meselia Airport,PG-WBK
Feramin,FRQ,,Feramin Airport,PG-SAN
Frieda River,FAQ,,Frieda River Airport,PG-ESW
Fuma,FUM,,Fuma Airport,PG-WPD
Goronka,GKA,,Goroka Airport,PG-EHG
Guari,GUG,,Guari Airport,PG-CPM
Au,GRL,,Garasa Airport,PG-MPL
Gurney,GUR,,Gurney Airport,PG-MBA
Gusap,GAP,,Gusap Airport,PG-MPL
Popondetta,PNP,,Girua Airport,PG-NPP
Gasuke,GBC,,Gasuke Airport,PG-WPD
Habi,HBD,,Habi Airport,PG-WPD
Heiweni,HNI,,Heiweni Airport,PG-MPL
Honinabi,HNN,,Honinabi Airport,PG-WPD
Kimbe,HKN,,Hoskins Airport,PG-WBK
Haivaro,HIT,,Haivaro Airport,PG-GPK
Imane,IMN,,Imane Airport,PG-MPL
Kungim,KGM,,Kungim Airport,PG-WPD
Imonda,IMD,,Imonda Airport,PG-SAN
Kieta,KIE,,Aropa Airport,PG-NSB
Ialibu,IAL,,Ialibu Airport,PG-SHM
Garove Island,WIU,,Witu Airport,PG-WBK
Yongai,KGH,,Yongai Airport,PG-CPM
Losuia,LSA,,Losuia Airport,PG-MBA
Kopiago,KPA,,Kopiago Airport,PG-HE
Kiunga,UNG,,Kiunga Airport,PG-WPD
Kanainj,KNE,,Kanainj Airport,PG-MPM
Kikori,KRI,,Kikori Airport,PG-GPK
Kerema,KMA,,Kerema Airport,PG-GPK
Kar Kar Island,KRX,,Kar Kar Airport,PG-MPM
Kuri,KUQ,,Kuri Airport,PG-GPK
Kavieng,KVG,,Kavieng Airport,PG-NIK
Londolovit,LNV,,Londolovit Airport,PG-NIK
Lab Lab Mission,LAB,,Lab Lab Airport,PG-MPL
Lowai,LWI,,Lowai Airport,PG-MPL
Leron Plains,LPN,,Leron Plains Airport,PG-MPL
Lese,LNG,,Lese Airport,PG-GPK
Long Island,LSJ,,Long Island Airport,PG-MPM
Abu Dhabi,AYM,,Yas Island Seaplane Base,AE-AZ
Manari,MRM,,Manari Airport,PG-CPM
Morobe,OBM,,Morobe Airport,PG-MPL
Madang,MAG,,Madang Airport,PG-MPM
Mount Hagen,HGU,,Mount Hagen Kagamuga Airport,PG-WHM
Mougulu,GUV,,Mougulu Airport,PG-WPD
Mendi,MDU,,Mendi Airport,PG-SHM
Manus Island,MAS,,Momote Airport,PG-MRL
Moro,MXH,,Moro Airport,PG-SHM
Misima Island,MIS,,Misima Island Airport,PG-MBA
Marawaka,MWG,,Marawaka Airport,PG-EHG
Gwarawon,NKN,,Nankina Airport,PG-MPM
Negarbo,GBF,,Negarbo(Negabo) Airport,PG-CPK
Manguna,MFO,,Manguna Airport,PG-EBR
Kasonombe,KSB,,Kasonombe Airport,PG-MPL
Namane,NMN,,Nomane Airport,PG-CPK
Nambaiyufa,NBA,,Nambaiyufa Airport,PG-CPK
Lae,LAE,,Nadzab Airport,PG-MPL
Konge,KGB,,Konge Airport,PG-MPL
Oksapmin,OKP,,Oksapmin Airport,PG-SAN
Komako,HOC,,Komako Airport,PG-GPK
Komaio,KCJ,,Komaio Airport,PG-GPK
Koroba,KDE,,Koroba Airport,PG-HE
Maitanakunai,OPB,,Open Bay Airport,PG-EBR
Pangoa,PGB,,Pangoa Airport,PG-WPD
Pangia,PGN,,Pangia Airport,PG-SHM
Mapoda,MPF,,Mapoda Airport,PG-WPD
Pumani,PMN,,Pumani Airport,PG-MBA
Puri,WLU,,Walluanda Airport,PG-SHM
Port Moresby,POM,,Port Moresby Jacksons International Airport,PG-NCD
Sopu,SPH,,Sopu Airport,PG-CPM
Sialum,SXA,,Sialum Airport,PG-MPL
,RMN,,Rumginae Airport,PG-WPD
Karimui,KMR,,Karimui Airport,PG-CPK
Maramuni,MWI,,Maramuni Airport,PG-EPW
May River,MRH,,May River Airstrip,PG-ESW
,SBE,,Suabi Airport,PG-WPD
Simberi Island,NIS,,Simberi Airport,PG-NIK
Sila Mission,SIL,,Sila Airport,PG-NPP
Sabah,SBV,,Sabah Airport,PG-NSB
Simbai,SIM,,Simbai Airport,PG-MPM
Selbang,SBC,,Selbang Airport,PG-WPD
Sepik Plains,SPV,,Sepik Plains Airport,PG-ESW
Sauren,SXW,,Sauren Airport,PG-WBK
Masa,MBV,,Masa Airport,PG-MPL
Tari,TIZ,,Tari Airport,PG-HE
Tabubil,TBG,,Tabubil Airport,PG-WPD
Tapini,TPI,,Tapini Airport,PG-CPM
Kokopo,RAB,,Tokua Airport,PG-EBR
Tekin,TKW,,Tekin Airport,PG-SAN
Teptep,TEP,,Tep Tep Airport,PG-MPM
Tsewi,TSW,,Tsewi Airport,PG-MPL
Tarakbits,TRJ,,Tarakbits Airport,PG-WPD
Tawa,TWY,,Tawa Airport,PG-MPL
Tekadu,TKB,,Tekadu Airport,PG-MPL
Aiyura Valley,AYU,,Aiyura Airport,PG-EHG
Umba,UMC,,Umba Airport,PG-MPL
Uroubi,URU,,Uroubi Airport,PG-NPP
Upiara,UPR,,Upiara Airport,PG-WPD
Uvol,UVO,,Uvol Airport,PG-EBR
Talasea,TLW,,Talasea Airport,PG-WBK
Torembi,TCJ,,Torembi Airport,PG-ESW
Vanimo,VAI,,Vanimo Airport,PG-SAN
Tonu,TON,,Tonu Airport,PG-NSB
Wabo,WAO,,Wabo Airport,PG-GPK
Wapenamanda,WBM,,Wapenamanda Airport,PG-EPW
Wavoi Falls,WAJ,,Wawoi Falls Airport,PG-WPD
Wewak,WWK,,Wewak International Airport,PG-ESW
Wonenara,WOA,,Wonenara Airport,PG-EHG
Wakunai,WKN,,Wakunai Airport,PG-NSB
Wasu,WSU,,Wasu Airport,PG-MPL
Fatima Mission,WTP,,Woitape Airport,PG-CPM
Wau,WUG,,Wau Airport,PG-MPL
Yeva,YVD,,Yeva Airport,PG-MPL
Sim,SMJ,,Sim Airport,PG-MPL
Weam,WEP,,Weam Airport,PG-WPD
Pottuvil,AYY,,Arugam Bay SPB,LK-5
Yalumet,KYX,,Yalumet Airport,PG-MPL
Yasuru,KSX,,Yasuru Airport,PG-MPL
Wasum,WUM,,Wasum Airport,PG-WBK
Baku,ZXT,,Zabrat Airport,AZ-BA
Fuzuli,FZL,,Fuzuli International Airport,AZ-FUZ
Supai Village,HAE,,Lava Falls Heliport,US-AZ
,AZB,,Amazon Bay Airport,PG-CPM
Zhenjiang,AZJ,,Zhenjiang Dalu Airport,CN-32
Unea Island,BAJ,,Bali Airport,PG-WBK
Bambu,BCP,,Bambu Airport,PG-MPM
Benguera Island,BCW,,Benguera Island Airport,MZ-I
Bickerton Island,BCZ,,Milyakburra Airport,AU-NT
Willmar,ILL,,Willmar Municipal Airport John L Rice Field (2006),US-MN
,BDZ,,Baindoung Airport,PG-MPL
Malevo,HKV,,Malevo Airfield,BG-26
Bezmer,JAM,,Bezmer Air Base,BG-28
Aasiaat,JEG,,Aasiaat Airport,GL-QK
Aappilattoq,AOQ,,Aappilattoq Heliport,GL-AV
Tasiilaq,AGM,,Tasiilaq Heliport,GL-SE
Aappilattoq,QUV,,Aappilattoq Heliport,GL-KU
Arsuk,JRK,,Arsuk Heliport,GL-SE
Ammassivik,QUW,,Ammassivik Heliport,GL-KU
Attu,QGQ,,Attu Heliport,GL-QK
Narsarsuaq,UAK,,Narsarsuaq Airport,GL-KU
Qasigiannguit,JCH,,Qasigiannguit Heliport,GL-QK
Neerlerit Inaat,CNP,,Neerlerit Inaat Airport,GL-SE
Eqalugaarsuit,QFG,,Eqalugaarsuit Heliport,GL-KU
Kangilinnguit,JGR,,Kangilinnguit Heliport,GL-SE
Nuuk,GOH,,Nuuk Airport,GL-SE
Qeqertarsuaq,JGO,,Qeqertarsuaq Heliport,GL-QK
Ikerasak,IKE,,Ikerasak Heliport,GL-AV
Iginniarfik,QFI,,Iginniarfik Heliport,GL-QK
Ikerassaarsuk,QRY,,Ikerassaarsuk Heliport,GL-QK
Ilimanaq,XIQ,,Ilimanaq Heliport,GL-AV
Innarsuit,IUI,,Innarsuit Heliport,GL-AV
Isortoq,IOQ,,Isortoq Heliport,GL-SE
Ikamiut,QJI,,Ikamiut Heliport,GL-QK
Qaqortoq,JJU,,Qaqortoq Heliport,GL-KU
Ilulissat,JAV,,Ilulissat Airport,GL-AV
Kangaatsiaq,QPW,,Kangaatsiaq Heliport,GL-QK
Kulusuk,KUS,,Kulusuk Airport,GL-SE
Kuummiut,KUZ,,Kuummiut Heliport,GL-SE
Kullorsuaq,KHQ,,Kullorsuaq Heliport,GL-AV
Kangersuatsiaq,KGQ,,Kangersuatsiaq Heliport,GL-AV
Kitsissuarsuit,QJE,,Kitsissuarsuit Heliport,GL-QK
Illorsuit,IOT,,Illorsuit Heliport,GL-AV
Maniitsoq,JSU,,Maniitsoq Airport,GL-QA
Nanortalik,JNN,,Nanortalik Heliport,GL-KU
Nuugaatsiaq,JUU,,Nuugaatsiaq Heliport,GL-AV
Narsaq,JNS,,Narsaq Heliport,GL-KU
Niaqornat,NIQ,,Niaqornat Heliport,GL-AV
Nuussuaq,NSQ,,Nuussuaq Heliport,GL-AV
Paamiut,JFR,,Paamiut Airport,GL-SE
Qeqertaq,PQT,,Qeqertaq Heliport,GL-AV
Qaanaaq,NAQ,,Qaanaaq Airport,GL-AV
Qassimiut,QJH,,Qassimiut Heliport,GL-KU
Ittoqqortoormiit,OBY,,Ittoqqortoormiit Heliport,GL-SE
Kangerlussuaq,SFJ,,Kangerlussuaq Airport,GL-QA
Sermiligaaq,SGG,,Sermiligaaq Heliport,GL-SE
Siorapaluk,SRK,,Siorapaluk Heliport,GL-AV
Saarloq,QOQ,,Saarloq Heliport,GL-KU
Sisimiut,JHS,,Sisimiut Airport,GL-QA
Saattut,SAE,,Saattut Heliport,GL-AV
Savissivik,SVR,,Savissivik Heliport,GL-AV
Tasiusaq,TQA,,Tasiusaq Heliport,GL-AV
Pituffik,THU,,Pituffik Space Base,GL-AV
Tiniteqilaaq,TQI,,Tiniteqilaaq Heliport,GL-SE
Tasiusak,XEQ,,Tasiusaq Heliport,GL-KU
Upernavik,JUV,,Upernavik Airport,GL-AV
Uummannaq,UMD,,Uummannaq Heliport,GL-AV
Uummannaq,JQA,,Qaarsut Airport,GL-AV
Ukkusissat,JUK,,Ukkusissat Heliport,GL-AV
Ensenada,BHL,,Bahía de los Ángeles Airport,MX-BCN
Brighton Downs,BHT,,Brighton Downs Airport,AU-QLD
Akureyri,AEY,,Akureyri Airport,IS-6
Bildudalur,BIU,,Bildudalur Airport,IS-4
Borgarfjörður eystri,BGJ,,Borgarfjörður eystri Airport,IS-7
Bakkafjörður,BJD,,Bakkafjörður Airport,IS-6
Blönduós,BLO,,Hjaltabakki Airport,IS-5
Búðardalur,BQD,,Búðardalur Airport,IS-3
Breiðdalsvík,BXV,,Breiðdalsvík Airport,IS-7
Djúpivogur,DJU,,Djúpivogur Airport,IS-7
Egilsstaðir,EGS,,Egilsstaðir Airport,IS-7
Fáskrúðsfjörður,FAS,,Fáskrúðsfjörður Airport,IS-7
Fagurhólsmýri,FAG,,Fagurhólsmýri Airport,IS-7
Grundarfjörður,GUU,,Grundarfjörður Airport,IS-3
Gjögur,GJR,,Gjögur Airport,IS-4
Grímsey,GRY,,Grímsey Airport,IS-6
Hólmavík,HVK,,Hólmavík Airport,IS-4
Höfn,HFN,,Hornafjörður Airport,IS-8
Flateyri,FLI,,Holt Airport,IS-4
Húsavík,HZK,,Húsavík Airport,IS-6
Onundarfjörður,HLO,,Ingjaldssanður Airport,IS-4
Ísafjörður,IFJ,,Ísafjörður Airport,IS-4
Reykjavík,KEF,,Keflavik International Airport,IS-2
Kópasker,OPA,,Kópasker Airport,IS-6
Sauðárkrókur,SAK,,Sauðárkrókur Airport,IS-5
Norðfjörður,NOR,,Norðfjörður Airport,IS-7
Ólafsfjörður,OFJ,,Ólafsfjörður Airport,IS-6
Patreksfjörður,PFJ,,Patreksfjörður Airport,IS-4
Reykhólar,RHA,,Reykhólar Airport,IS-4
Rif,OLI,,Rif Airport,IS-3
Raufarhöfn,RFN,,Raufarhöfn Airport,IS-6
Reykjavik,RKV,,Reykjavik Airport,IS-1
Myvatn,MVA,,Reykjahlíð Airport,IS-6
Siglufjörður,SIJ,,Siglufjörður Airport,IS-6
Stykkishólmur,SYK,,Stykkishólmur Airport,IS-3
Þingeyri,TEY,,Þingeyri Airport,IS-4
Þórshöfn,THO,,Þórshöfn Airport,IS-6
Vestmannaeyjar,VEY,,Vestmannaeyjar Airport,IS-8
Vopnafjörður,VPN,,Vopnafjörður Airport,IS-7
Baleela Base Camp,BJE,,Baleela Airport,SD-13
Bahja,BJQ,,Bahja Airport,OM-WU
Bentota,BJT,,Bentota River Waterdrome,LK-1
Prishtina,PRN,,Priština Adem Jashari International Airport,XK-01
Bomai,BMH,,Bomai Airport,PG-CPK
Bamburi,BMQ,,Bamburi Airport,KE-300
Bamu,BMZ,,Bamu Airport,PG-WPD
Baranof,BNF,,Baranof Warm Springs Float and Seaplane Base,US-AK
Bodinumu,BNM,,Bodinumu Airport,PG-CPM
Bundi,BNT,,Bundi Airport,PG-MPM
Boana,BNV,,Boana Airport,PG-MPL
Rurrenabaque,RBQ,,Rurrenabaque Airport,BO-B
Baures,BVL,,Baures Airport,BO-B
Brookings,BOK,,Brookings Airport,US-OR
Bosset,BOT,,Bosset Airport,PG-WPD
Boang Island,BOV,,Boang Airport,PG-NIK
Batuna Mission Station,BPF,,Batuna Aerodrome,SB-WE
Gustavus,BQV,,Bartlett Cove Seaplane Base,US-AK
Cajazeiras,CJZ,,Pedro Vieira Moreira Airport,BR-PB
Vitória da Conquista,VDC,,Glauber de Andrade Rocha Airport,BR-BA
Alenquer,ALT,,Alenquer Municipal Airport,BR-PA
Bimini,NSB,,Bimini North Seaplane Base,BS-BI
Bensbach,BSP,,Bensbach Airport,PG-WPD
Besakoa,BSV,,Besakoa Airport,MG-M
Betong,BTZ,,Betong International Airport,TH-95
Bulolo,BUL,,Bulolo Airport,PG-MPL
Brava Island,BVR,,Esperadinha Airport,CV-S
Hukuntsi,HUK,,Hukuntsi Airport,BW-KG
,BWJ,,Bawan Airport,PG-MPL
Bewani,BWP,,Bewani Airport,PG-SAN
Nanuya Lailai Island,BXL,,Blue Lagoon Seaplane Base,FJ-W
Bunsil - Umboi Island,BXZ,,Bunsil Airport,PG-MPL
Orsha,TXC,,Orsha Airport - Balbasovo Air Base,BY-VI
Boundary,BYA,,Boundary Airport,US-AK
Beliyela,BYL,,Bella Yella Airport,LR-LO
Colombo,BYV,,Beira Lake Seaplane Base,LK-1
Belmopan,BCV,,Hector Silva Airstrip,BZ-CY
Big Creek,BGK,,Big Creek Airport,BZ-SC
Caye Caulker,CUK,,Caye Caulker Airport,BZ-BZ
Caye Chapel,CYC,,Caye Chapel Airport,BZ-BZ
Corozal,CZH,,Corozal Municipal Airport,BZ-CZL
Dangriga,DGA,,Dangriga Airport,BZ-SC
Independence,INB,,Independence Airport,BZ-SC
Melinda,MDB,,Melinda Airport,BZ-SC
Orange Walk,ORZ,,H.E Alfredo Martinez (Tower Hill) Airstrip,BZ-OW
Placencia,PLJ,,Placencia Airport,BZ-SC
Punta Gorda,PND,,Punta Gorda Airport,BZ-TOL
Sartaneja,SJX,,Sartaneja Airport,BZ-CZL
San Pedro,SPR,,John Greif II Airport,BZ-CY
Spanish Lookout,SQS,,Matthew Spain Airport,BZ-CY
Santa Cruz,STU,,Santa Cruz Airport,BZ-CZL
Silver Creek,SVK,,Silver Creek Airport,BZ-SC
Belize City,TZA,,Sir Barry Bowen Municipal Airport,BZ-BZ
Bazaruto Island,BZB,,Bazaruto Island Airport,MZ-I
Bemolanga,BZM,,Bemolanga Airport,MG-M
