municipality,iata_code,,name,iso_region
Sargodha,SGI,,Mushaf Air Base,PK-PB
Saidu Sharif,SDT,,Saidu Sharif Airport,PK-KP
Sialkot,SKT,,Sialkot International Airport,PK-PB
Sui,SUL,,Sui Airport,PK-BA
Sawan Gas Field,RZS,,Sawan Airport,PK-SD
Tarbela,TLB,,Tarbela Dam Airport,PK-KP
Badin,BDN,,Talhar Airport,PK-SD
Taftan,TFT,,Taftan Airport,PK-BA
Turbat,TUK,,Turbat International Airport,PK-BA
Waana,WAF,,Wana Airport,PK-KP
Fort Sandeman,PZH,,Zhob Airport,PK-BA
Hīt,IQA,,Al Asad Air Base,IQ-AN
Al Habbaniyah,TQD,,Al Taqaddum Air Base,IQ-AN
Bamarni,BMN,,Bamarni Airport,IQ-DA
Baghdad,BGW,,Baghdad International Airport / New Al Muthana Air Base,IQ-BG
Mosul,OSM,,Mosul International Airport,IQ-NI
Arbil,EBL,,Erbil International Airport,IQ-AR
Port Lions,ORI,,Port Lions Airport,US-AK
Kirkuk,KIK,,Kirkuk Air Base,IQ-TS
Basra,BSR,,Basra International Airport,IQ-BA
Najaf,NJF,,Al Najaf International Airport,IQ-NA
Qayyarah,RQW,,Qayyarah West Airport,IQ-NI
Sulaymaniyah,ISU,,Sulaymaniyah International Airport,IQ-SW
Nasiriyah,XNH,,Ali Air Base,IQ-DQ
Aleppo,ALP,,Aleppo International Airport,SY-HL
Damascus,DAM,,Damascus International Airport,SY-DI
Deir ez-Zor,DEZ,,Deir ez-Zor Airport,SY-DY
Omora,OSE,,Omora Airport,PG-MPL
Ossima,OSG,,Ossima Airport,PG-SAN
Qamishly,KAC,,Qamishli Airport,SY-HA
Latakia,LTK,,Hmeimim Air Base,SY-LA
Tadmur,PMS,,Palmyra Airport,SY-HI
Doha,DIA,,Doha International Airport,QA-DA
Ar Rayyan,XJD,,Al Udeid Air Base,QA-RA
Doha,DOH,,Hamad International Airport,QA-DA
Cotriguaçu,OTT,,Andre Maggi Airport,BR-MT
Oum Hadjer,OUM,,Oum Hadjer Airport,TD-BA
Orientos,OXO,,Orientos Airport,AU-QLD
Aden,ADE,,Aden International Airport,YE-AD
Abs,EAB,,Abs Airport,YE-SN
Ataq,AXK,,Ataq Airport,YE-SH
Al-Bayda,BYD,,Al-Bayda Airport,YE-BA
Beihan,BHN,,Beihan Airport,YE-SH
Al-Bough,BUK,,Al-Bough Airport,YE-SD
Al Ghaydah,AAY,,Al Ghaydah International Airport,YE-MR
Hodeida,HOD,,Hodeidah International Airport,YE-HU
Kamaran,KAM,,Kamaran Airport,YE-MU
Marib,MYN,,Marib Airport,YE-MA
Mukayras,UKR,,Mukeiras Airport,YE-BA
Qishn,IHN,,Qishn Airport,YE-MR
Riyan,RIY,,Riyan Mukalla International Airport,YE-HD
Sa'dah,SYE,,Sadah Airport,YE-SD
Sana'a,SAH,,Sana'a International Airport,YE-SN
Socotra Islands,SCT,,Socotra International Airport,YE-HD
Seiyun,GXF,,Seiyun Hadhramaut International Airport,YE-HD
Ta'izz,TAI,,Ta'izz International Airport,YE-TA
Zagora,OZG,,Zagora Airport,MA-U-A
Mamitupu,ACU,,Achutupu Airport,PS-GY
Isla Lorenzo Bello,AIL,,Ailigandí Airport,PS-GY
Carti,CTE,,Carti Airport,PS-GY
Mulatupo,MPP,,Mulatupo Airport,PS-GY
Ukupseni,PYC,,Playón Chico Airport,PS-GY
Isla del Rey,NMG,,San Miguel Airport,PA-8
Coetupo,TUW,,Tubualá Airport,PS-GY
Yaviza,PYV,,Yaviza Airport,PA-5
Puerto Armuelles,AML,,Puerto Armuelles Airport,PA-4
Puerto Piña,BFQ,,Bahia Piña Airport,PA-5
El Real de Santa María,ELE,,EL Real Airport,PA-5
Contadora Island,OTD,,Raul Arias Espinoza Airport,PA-8
Boca de Sábalo,SAX,,Sambú Airport,PA-5
Atka,AKB,,Atka Airport,US-AK
Cold Bay,PML,,Port Moller Airport,US-AK
Port Alexander,PTD,,Port Alexander Seaplane Base,US-AK
Palmer,PAQ,,"Warren ""Bud"" Woods Palmer Municipal Airport",US-AK
Attu,ATU,,Casco Cove Coast Guard Station,US-AK
Barter Island,BTI,,Barter Island Long Range Radar Station Airport,US-AK
Bethel,BET,,Bethel Airport,US-AK
Beluga,BVU,,Beluga Airport,US-AK
Delta Junction Ft Greely,BIG,,Allen Army Airfield,US-AK
Buckland,BKC,,Buckland Airport,US-AK
Big Mountain,BMX,,Big Mountain Airport,US-AK
Utqiaġvik,BRW,,Wiley Post Will Rogers Memorial Airport,US-AK
Bettles,BTT,,Bettles Airport,US-AK
Cold Bay,CDB,,Cold Bay Airport,US-AK
Central,CEM,,Central Airport,US-AK
Chalkyitsik,CIK,,Chalkyitsik Airport,US-AK
Chefornak,CYF,,Chefornak Airport,US-AK
Scammon Bay,SCM,,Scammon Bay Airport,US-AK
Circle,IRC,,Circle City (New) Airport,US-AK
Cape Sarichef,WSF,,Cape Sarichef Airport,US-AK
Cordova,CDV,,Merle K (Mudhole) Smith Airport,US-AK
Coldfoot,CXF,,Coldfoot Airport,US-AK
Yakataga,CYT,,Yakataga Airport,US-AK
Cape Romanzof,CZF,,Cape Romanzof LRRS Airport,US-AK
Deering,DRG,,Deering Airport,US-AK
Red Dog,RDB,,Red Dog Airport,US-AK
